Sample Name,Sample Description,Sample ID,Run ID,Experiment type,Instrument model,Release version,
"Patient 8 skin adjacent to wound time 1","diabetic_skin_adj","ERS1474722","ERR1759972","amplicon","Illumina MiSeq",4.0,
"Patient 8 skin contralateral foot to wound time 1","diabetic_skin_contra","ERS1474723","ERR1759973","amplicon","Illumina MiSeq",4.0,
"Patient 8 wound debridement time 1","wound_deb","ERS1474724","ERR1759974","amplicon","Illumina MiSeq",4.0,
"Patient 8 wound swab time 1","wound_swab","ERS1474725","ERR1759975","amplicon","Illumina MiSeq",4.0,
"Patient 8 skin adjacent to wound time 2","diabetic_skin_adj","ERS1474726","ERR1759976","amplicon","Illumina MiSeq",4.0,
"Patient 8 skin contralateral foot to wound time 2","diabetic_skin_contra","ERS1474727","ERR1759977","amplicon","Illumina MiSeq",4.0,
"Patient 8 wound debridement time 2","wound_deb","ERS1474728","ERR1759978","amplicon","Illumina MiSeq",4.0,
"Patient 8 wound swab time 2","wound_swab","ERS1474729","ERR1759979","amplicon","Illumina MiSeq",4.0,
"Patient 8 skin adjacent to wound time 3","diabetic_skin_adj","ERS1474730","ERR1759980","amplicon","Illumina MiSeq",4.0,
"Patient 8 skin contralateral foot to wound time 3","diabetic_skin_contra","ERS1474731","ERR1759981","amplicon","Illumina MiSeq",4.0,
"Patient 8 wound debridement time 3","wound_deb","ERS1474732","ERR1759982","amplicon","Illumina MiSeq",4.0,
"Patient 8 wound swab time 3","wound_swab","ERS1474733","ERR1759983","amplicon","Illumina MiSeq",4.0,
"Patient 8 skin adjacent to wound time 5","diabetic_skin_adj","ERS1474734","ERR1759984","amplicon","Illumina MiSeq",4.0,
"Patient 8 skin contralateral foot to wound time 5","diabetic_skin_contra","ERS1474735","ERR1759985","amplicon","Illumina MiSeq",4.0,
"Patient 8 wound debridement time 5","wound_deb","ERS1474736","ERR1759986","amplicon","Illumina MiSeq",4.0,
"Patient 8 wound swab time 5","wound_swab","ERS1474737","ERR1759987","amplicon","Illumina MiSeq",4.0,
"Patient 9 skin adjacent to wound time 0","diabetic_skin_adj","ERS1474738","ERR1759988","amplicon","Illumina MiSeq",4.0,
"Patient 9 skin contralateral foot to wound time 0","diabetic_skin_contra","ERS1474739","ERR1759989","amplicon","Illumina MiSeq",4.0,
"Patient 9 wound debridement time 0","wound_deb","ERS1474740","ERR1759990","amplicon","Illumina MiSeq",4.0,
"Patient 9 wound swab time 0","wound_swab","ERS1474741","ERR1759991","amplicon","Illumina MiSeq",4.0,
"Patient 9 skin adjacent to wound time 1","diabetic_skin_adj","ERS1474742","ERR1759992","amplicon","Illumina MiSeq",4.0,
"Patient 9 skin contralateral foot to wound time 1","diabetic_skin_contra","ERS1474743","ERR1759993","amplicon","Illumina MiSeq",4.0,
"Patient 9 wound debridement time 1","wound_deb","ERS1474744","ERR1759994","amplicon","Illumina MiSeq",4.0,
"Patient 9 wound swab time 1","wound_swab","ERS1474745","ERR1759995","amplicon","Illumina MiSeq",4.0,
"Patient 9 skin adjacent to wound time 2","diabetic_skin_adj","ERS1474746","ERR1759996","amplicon","Illumina MiSeq",4.0,
"Patient 9 skin contralateral foot to wound time 2","diabetic_skin_contra","ERS1474747","ERR1759997","amplicon","Illumina MiSeq",4.0,
"Patient 9 wound debridement time 2","wound_deb","ERS1474748","ERR1759998","amplicon","Illumina MiSeq",4.0,
"Patient 9 wound swab time 2","wound_swab","ERS1474749","ERR1759999","amplicon","Illumina MiSeq",4.0,
"Patient 9 skin adjacent to wound time 3","diabetic_skin_adj","ERS1474750","ERR1760000","amplicon","Illumina MiSeq",4.0,
"Patient 9 skin contralateral foot to wound time 3","diabetic_skin_contra","ERS1474751","ERR1760001","amplicon","Illumina MiSeq",4.0,
"Patient 9 skin adjacent to wound time 4","diabetic_skin_adj","ERS1474752","ERR1760002","amplicon","Illumina MiSeq",4.0,
"Patient 9 skin contralateral foot to wound time 4","diabetic_skin_contra","ERS1474753","ERR1760003","amplicon","Illumina MiSeq",4.0,
"Patient 9 wound swab time 4","wound_swab","ERS1474754","ERR1760004","amplicon","Illumina MiSeq",4.0,
"Patient 9 skin adjacent to wound time 5","diabetic_skin_adj","ERS1474755","ERR1760005","amplicon","Illumina MiSeq",4.0,
"Patient 9 skin contralateral foot to wound time 5","diabetic_skin_contra","ERS1474756","ERR1760006","amplicon","Illumina MiSeq",4.0,
"Patient 9 wound debridement time 5","wound_deb","ERS1474757","ERR1760007","amplicon","Illumina MiSeq",4.0,
"Patient 9 wound swab time 5","wound_swab","ERS1474758","ERR1760008","amplicon","Illumina MiSeq",4.0,
"Blank swab process control sequenced in run 2","Blank_3","ERS1474760","ERR1760009","amplicon","Illumina MiSeq",4.0,
"E. coli positive DNA control sequenced run 2","Positive_3","ERS1474761","ERR1760010","amplicon","Illumina MiSeq",4.0,
"No DNA PCR control sequenced run 2","No_DNA3","ERS1474764","ERR1760011","amplicon","Illumina MiSeq",4.0,
"Control patient 3 left foot time 1","control_skin_left","ERS1474765","ERR1760012","amplicon","Illumina MiSeq",4.0,
"Control patient 3 right foot time 1","control_skin_right","ERS1474766","ERR1760013","amplicon","Illumina MiSeq",4.0,
"Control patient 3 left foot time 2","control_skin_left","ERS1474767","ERR1760014","amplicon","Illumina MiSeq",4.0,
"Control patient 3 right foot time 2","control_skin_right","ERS1474768","ERR1760015","amplicon","Illumina MiSeq",4.0,
"Control patient 3 left foot time 3","control_skin_left","ERS1474769","ERR1760016","amplicon","Illumina MiSeq",4.0,
"Control patient 3 right foot time 3","control_skin_right","ERS1474770","ERR1760017","amplicon","Illumina MiSeq",4.0,
"Control patient 3 left foot time 4","control_skin_left","ERS1474771","ERR1760018","amplicon","Illumina MiSeq",4.0,
"Control patient 3 right foot time 4","control_skin_right","ERS1474772","ERR1760019","amplicon","Illumina MiSeq",4.0,
"Control patient 4 left foot time 0","control_skin_left","ERS1474773","ERR1760020","amplicon","Illumina MiSeq",4.0,
"Control patient 4 right foot time 0","control_skin_right","ERS1474774","ERR1760021","amplicon","Illumina MiSeq",4.0,
"Control patient 4 left foot time 2","control_skin_left","ERS1474775","ERR1760022","amplicon","Illumina MiSeq",4.0,
"Control patient 4 right foot time 2","control_skin_right","ERS1474776","ERR1760023","amplicon","Illumina MiSeq",4.0,
"Control patient 4 left foot time 3","control_skin_left","ERS1474777","ERR1760024","amplicon","Illumina MiSeq",4.0,
"Control patient 4 right foot time 3","control_skin_right","ERS1474778","ERR1760025","amplicon","Illumina MiSeq",4.0,
"Control patient 4 left foot time 4","control_skin_left","ERS1474779","ERR1760026","amplicon","Illumina MiSeq",4.0,
"Control patient 4 right foot time 4","control_skin_right","ERS1474780","ERR1760027","amplicon","Illumina MiSeq",4.0,
"Control patient 4 left foot time 5","control_skin_left","ERS1474781","ERR1760028","amplicon","Illumina MiSeq",4.0,
"Control patient 5 left foot time 0","control_skin_left","ERS1474782","ERR1760029","amplicon","Illumina MiSeq",4.0,
"Control patient 5 right foot time 0","control_skin_right","ERS1474783","ERR1760030","amplicon","Illumina MiSeq",4.0,
"Control patient 5 left foot time 1","control_skin_left","ERS1474784","ERR1760031","amplicon","Illumina MiSeq",4.0,
"Control patient 5 right foot time 1","control_skin_right","ERS1474785","ERR1760032","amplicon","Illumina MiSeq",4.0,
"Control patient 5 left foot time 2","control_skin_left","ERS1474786","ERR1760033","amplicon","Illumina MiSeq",4.0,
"Control patient 5 right foot time 2","control_skin_right","ERS1474787","ERR1760034","amplicon","Illumina MiSeq",4.0,
"Control patient 5 left foot time 3","control_skin_left","ERS1474788","ERR1760035","amplicon","Illumina MiSeq",4.0,
"Control patient 5 right foot time 3","control_skin_right","ERS1474789","ERR1760036","amplicon","Illumina MiSeq",4.0,
"Control patient 5 left foot time 4","control_skin_left","ERS1474790","ERR1760037","amplicon","Illumina MiSeq",4.0,
"Control patient 5 right foot time 4","control_skin_right","ERS1474791","ERR1760038","amplicon","Illumina MiSeq",4.0,
"Control patient 5 left foot time 5","control_skin_left","ERS1474792","ERR1760039","amplicon","Illumina MiSeq",4.0,
"Control patient 5 right foot time 5","control_skin_right","ERS1474793","ERR1760040","amplicon","Illumina MiSeq",4.0,
"Control patient 9 left foot time 0","control_skin_left","ERS1474794","ERR1760041","amplicon","Illumina MiSeq",4.0,
"Control patient 9 right foot time 0","control_skin_right","ERS1474795","ERR1760042","amplicon","Illumina MiSeq",4.0,
"Control patient 9 left foot time 1","control_skin_left","ERS1474796","ERR1760043","amplicon","Illumina MiSeq",4.0,
"Control patient 9 right foot time 1","control_skin_right","ERS1474797","ERR1760044","amplicon","Illumina MiSeq",4.0,
"Control patient 9 left foot time 2","control_skin_left","ERS1474798","ERR1760045","amplicon","Illumina MiSeq",4.0,
"Control patient 9 right foot time 2","control_skin_right","ERS1474799","ERR1760046","amplicon","Illumina MiSeq",4.0,
"Control patient 9 left foot time 3","control_skin_left","ERS1474800","ERR1760047","amplicon","Illumina MiSeq",4.0,
"Control patient 9 right foot time 3","control_skin_right","ERS1474801","ERR1760048","amplicon","Illumina MiSeq",4.0,
"Control patient 9 left foot time 4","control_skin_left","ERS1474802","ERR1760049","amplicon","Illumina MiSeq",4.0,
"Control patient 9 right foot time 4","control_skin_right","ERS1474803","ERR1760050","amplicon","Illumina MiSeq",4.0,
"Control patient 9 left foot time 5","control_skin_left","ERS1474804","ERR1760051","amplicon","Illumina MiSeq",4.0,
"Control patient 9 right foot time 5","control_skin_right","ERS1474805","ERR1760052","amplicon","Illumina MiSeq",4.0,
"Patient 1 skin contralateral foot to wound time 0","diabetic_skin_contra","ERS1474806","ERR1760053","amplicon","Illumina MiSeq",4.0,
"Patient 1 wound debridement time 0","wound_deb","ERS1474807","ERR1760054","amplicon","Illumina MiSeq",4.0,
"Patient 1 wound swab time 0","wound_swab","ERS1474808","ERR1760055","amplicon","Illumina MiSeq",4.0,
"Patient 1 skin adjacent to wound time 1","diabetic_skin_adj","ERS1474809","ERR1760056","amplicon","Illumina MiSeq",4.0,
"Patient 1 skin contralateral foot to wound time 1","diabetic_skin_contra","ERS1474810","ERR1760057","amplicon","Illumina MiSeq",4.0,
"Patient 1 wound debridement time 1","wound_deb","ERS1474811","ERR1760058","amplicon","Illumina MiSeq",4.0,
"Patient 1 wound swab time 1","wound_swab","ERS1474812","ERR1760059","amplicon","Illumina MiSeq",4.0,
"Patient 1 skin adjacent to wound time 2","diabetic_skin_adj","ERS1474813","ERR1760060","amplicon","Illumina MiSeq",4.0,
"Patient 1 skin contralateral foot to wound time 2","diabetic_skin_contra","ERS1474814","ERR1760061","amplicon","Illumina MiSeq",4.0,
"Patient 1 wound debridement time 2","wound_deb","ERS1474815","ERR1760062","amplicon","Illumina MiSeq",4.0,
"Patient 1 wound swab time 2","wound_swab","ERS1474816","ERR1760063","amplicon","Illumina MiSeq",4.0,
"Patient 1 skin adjacent to wound time 3","diabetic_skin_adj","ERS1474817","ERR1760064","amplicon","Illumina MiSeq",4.0,
"Patient 1 skin contralateral foot to wound time 3","diabetic_skin_contra","ERS1474818","ERR1760065","amplicon","Illumina MiSeq",4.0,
"Patient 1 wound debridement time 3","wound_deb","ERS1474819","ERR1760066","amplicon","Illumina MiSeq",4.0,
"Patient 1 wound swab time 3","wound_swab","ERS1474820","ERR1760067","amplicon","Illumina MiSeq",4.0,
"Patient 1 skin adjacent to wound time 4","diabetic_skin_adj","ERS1474821","ERR1760068","amplicon","Illumina MiSeq",4.0,
"Patient 1 skin contralateral foot to wound time 4","diabetic_skin_contra","ERS1474822","ERR1760069","amplicon","Illumina MiSeq",4.0,
"Patient 1 wound debridement time 4","wound_deb","ERS1474823","ERR1760070","amplicon","Illumina MiSeq",4.0,
"Patient 1 wound swab time 4","wound_swab","ERS1474824","ERR1760071","amplicon","Illumina MiSeq",4.0,
"Patient 1 skin adjacent to wound time 5","diabetic_skin_adj","ERS1474825","ERR1760072","amplicon","Illumina MiSeq",4.0,
"Patient 1 skin contralateral foot to wound time 5","diabetic_skin_contra","ERS1474826","ERR1760073","amplicon","Illumina MiSeq",4.0,
"Patient 1 wound debridement time 5","wound_deb","ERS1474827","ERR1760074","amplicon","Illumina MiSeq",4.0,
"Patient 1 wound swab time 5","wound_swab","ERS1474828","ERR1760075","amplicon","Illumina MiSeq",4.0,
"Patient 2 skin adjacent to wound time 0","diabetic_skin_adj","ERS1474829","ERR1760076","amplicon","Illumina MiSeq",4.0,
"Patient 2 skin contralateral foot to wound time 0","diabetic_skin_contra","ERS1474830","ERR1760077","amplicon","Illumina MiSeq",4.0,
"Patient 2 wound debridement time 0","wound_deb","ERS1474831","ERR1760078","amplicon","Illumina MiSeq",4.0,
"Patient 2 wound swab time 0","wound_swab","ERS1474832","ERR1760079","amplicon","Illumina MiSeq",4.0,
"Patient 2 skin adjacent to wound time 3","diabetic_skin_adj","ERS1474833","ERR1760080","amplicon","Illumina MiSeq",4.0,
"Patient 2 skin contralateral foot to wound time 3","diabetic_skin_contra","ERS1474834","ERR1760081","amplicon","Illumina MiSeq",4.0,
"Patient 2 skin adjacent to wound time 4","diabetic_skin_adj","ERS1474835","ERR1760082","amplicon","Illumina MiSeq",4.0,
"Patient 2 skin contralateral foot to wound time 4","diabetic_skin_contra","ERS1474836","ERR1760083","amplicon","Illumina MiSeq",4.0,
"Patient 2 wound swab time 4","wound_swab","ERS1474837","ERR1760084","amplicon","Illumina MiSeq",4.0,
"Patient 2 skin adjacent to wound time 5","diabetic_skin_adj","ERS1474838","ERR1760085","amplicon","Illumina MiSeq",4.0,
"Patient 2 skin contralateral foot to wound time 5","diabetic_skin_contra","ERS1474839","ERR1760086","amplicon","Illumina MiSeq",4.0,
"Patient 2 wound swab time 5","wound_swab","ERS1474840","ERR1760087","amplicon","Illumina MiSeq",4.0,
"Patient 3 skin contralateral foot to wound time 0","diabetic_skin_contra","ERS1474841","ERR1760088","amplicon","Illumina MiSeq",4.0,
"Patient 3 wound debridement time 0","wound_deb","ERS1474842","ERR1760089","amplicon","Illumina MiSeq",4.0,
"Patient 3 wound swab time 0","wound_swab","ERS1474843","ERR1760090","amplicon","Illumina MiSeq",4.0,
"Patient 3 skin contralateral foot to wound time 1","diabetic_skin_contra","ERS1474844","ERR1760091","amplicon","Illumina MiSeq",4.0,
"Patient 3 wound debridement time 1","wound_deb","ERS1474845","ERR1760092","amplicon","Illumina MiSeq",4.0,
"Patient 3 wound swab time 1","wound_swab","ERS1474846","ERR1760093","amplicon","Illumina MiSeq",4.0,
"Patient 3 skin adjacent to wound time 2","diabetic_skin_adj","ERS1474847","ERR1760094","amplicon","Illumina MiSeq",4.0,
"Patient 3 skin contralateral foot to wound time 2","diabetic_skin_contra","ERS1474848","ERR1760095","amplicon","Illumina MiSeq",4.0,
"Patient 5 skin adjacent to wound time 0","diabetic_skin_adj","ERS1474849","ERR1760096","amplicon","Illumina MiSeq",4.0,
"Patient 5 skin contralateral foot to wound time 0","diabetic_skin_contra","ERS1474850","ERR1760097","amplicon","Illumina MiSeq",4.0,
"Patient 5 wound debridement time 0","wound_deb","ERS1474851","ERR1760098","amplicon","Illumina MiSeq",4.0,
"Patient 5 wound swab time 0","wound_swab","ERS1474852","ERR1760099","amplicon","Illumina MiSeq",4.0,
"Patient 5 skin adjacent to wound time 1","diabetic_skin_adj","ERS1474853","ERR1760100","amplicon","Illumina MiSeq",4.0,
"Patient 5 skin contralateral foot to wound time 1","diabetic_skin_contra","ERS1474854","ERR1760101","amplicon","Illumina MiSeq",4.0,
"Patient 5 wound debridement time 1","wound_deb","ERS1474855","ERR1760102","amplicon","Illumina MiSeq",4.0,
"Patient 5 wound swab time 1","wound_swab","ERS1474856","ERR1760103","amplicon","Illumina MiSeq",4.0,
"Patient 5 skin adjacent to wound time 2","diabetic_skin_adj","ERS1474857","ERR1760104","amplicon","Illumina MiSeq",4.0,
"Patient 5 skin contralateral foot to wound time 2","diabetic_skin_contra","ERS1474858","ERR1760105","amplicon","Illumina MiSeq",4.0,
"Patient 5 wound debridement time 2","wound_deb","ERS1474859","ERR1760106","amplicon","Illumina MiSeq",4.0,
"Patient 5 wound swab time 2","wound_swab","ERS1474860","ERR1760107","amplicon","Illumina MiSeq",4.0,
"Patient 5 skin adjacent to wound time 3","diabetic_skin_adj","ERS1474861","ERR1760108","amplicon","Illumina MiSeq",4.0,
"Patient 5 skin contralateral foot to wound time 3","diabetic_skin_contra","ERS1474862","ERR1760109","amplicon","Illumina MiSeq",4.0,
"Patient 5 wound debridement time 3","wound_deb","ERS1474863","ERR1760110","amplicon","Illumina MiSeq",4.0,
"Patient 5 wound swab time 3","wound_swab","ERS1474864","ERR1760111","amplicon","Illumina MiSeq",4.0,
"Patient 5 skin adjacent to wound time 4","diabetic_skin_adj","ERS1474865","ERR1760112","amplicon","Illumina MiSeq",4.0,
"Patient 5 skin contralateral foot to wound time 4","diabetic_skin_contra","ERS1474866","ERR1760113","amplicon","Illumina MiSeq",4.0,
"Patient 5 wound swab time 4","wound_swab","ERS1474867","ERR1760114","amplicon","Illumina MiSeq",4.0,
"Patient 5 skin adjacent to wound time 5","diabetic_skin_adj","ERS1474868","ERR1760115","amplicon","Illumina MiSeq",4.0,
"Patient 5 skin contralateral foot to wound time 5","diabetic_skin_contra","ERS1474869","ERR1760116","amplicon","Illumina MiSeq",4.0,
"Patient 5 wound debridement time 5","wound_deb","ERS1474870","ERR1760117","amplicon","Illumina MiSeq",4.0,
