#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Staphylococcus capitis","1069_SEPI",51020,SAMN03197031 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001070105.1 ,2.54173,32.8,-,JWED01,76,2423,2351,2015/07/10,2017/04/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/070/105/GCF_001070105.1_ASM107010v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/070/105/GCA_001070105.1_ASM107010v1
"Staphylococcus capitis","680_SEPI",51020,SAMN03197883 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001073915.1 ,2.52573,32.8,-,JUXJ01,167,2420,2330,2015/07/10,2017/04/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/073/915/GCF_001073915.1_ASM107391v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/073/915/GCA_001073915.1_ASM107391v1
"Staphylococcus capitis","880_SEPI",51020,SAMN03198086 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001074775.1 ,2.52276,32.8,-,JUPO01,114,2412,2339,2015/07/10,2017/04/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/074/775/GCF_001074775.1_ASM107477v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/074/775/GCA_001074775.1_ASM107477v1
"Staphylococcus capitis","722_SEPI",51020,SAMN03197927 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001074935.1 ,2.34419,32.7,-,JUVR01,158,2284,2123,2015/07/10,2017/04/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/074/935/GCF_001074935.1_ASM107493v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/074/935/GCA_001074935.1_ASM107493v1
"Staphylococcus capitis","CR03",51020,SAMEA3358846 ,PRJEB9122,"Terrabacteria group","Firmicutes",GCA_001179785.1 ,2.50535,32.8,-,CVUF01,31,2424,2305,2015/06/19,2017/04/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/179/785/GCF_001179785.1_CR03,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/179/785/GCA_001179785.1_CR03
"Staphylococcus capitis","CR04",51020,SAMEA3271079 ,PRJEB8618,"Terrabacteria group","Firmicutes",GCA_001201015.1 ,2.50859,32.8,-,CTEM01,38,2407,2309,2015/03/25,2017/04/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/201/015/GCF_001201015.1_CR04,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/201/015/GCA_001201015.1_CR04
"Staphylococcus capitis","CR05",51020,SAMEA3271080 ,PRJEB8618,"Terrabacteria group","Firmicutes",GCA_001220005.1 ,2.54012,32.8,-,CTEO01,39,2459,2356,2015/03/26,2017/04/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/220/005/GCF_001220005.1_CR05,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/220/005/GCA_001220005.1_CR05
"Staphylococcus capitis","CR09",51020,SAMEA3271081 ,PRJEB8618,"Terrabacteria group","Firmicutes",GCA_001220605.1 ,2.48716,32.8,-,CTEL01,34,2403,2286,2015/03/25,2017/04/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/220/605/GCF_001220605.1_CR09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/220/605/GCA_001220605.1_CR09
"Staphylococcus capitis","FDAARGOS_173",51020,SAMN03996314 ,PRJNA231221,"Terrabacteria group","Firmicutes",GCA_001471555.2 ,2.60255,33,-,LORZ02,4,2560,2408,2015/12/21,2018/01/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/471/555/GCF_001471555.2_ASM147155v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/471/555/GCA_001471555.2_ASM147155v2
"Staphylococcus capitis","H65",51020,SAMN04621680 ,PRJNA317599,"Terrabacteria group","Firmicutes",GCA_001650395.1 ,2.49343,32.7,-,LWCP01,45,2434,2295,2016/05/24,2017/04/05,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/650/395/GCF_001650395.1_ASM165039v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/650/395/GCA_001650395.1_ASM165039v1
"Staphylococcus capitis","H36",51020,SAMN04621681 ,PRJNA317600,"Terrabacteria group","Firmicutes",GCA_001650475.1 ,2.41844,32.7,-,LWCQ01,31,2391,2197,2016/05/24,2017/04/05,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/650/475/GCF_001650475.1_ASM165047v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/650/475/GCA_001650475.1_ASM165047v1
"Staphylococcus capitis","MF1871",51020,SAMN04479465 ,PRJNA311173,"Terrabacteria group","Firmicutes",GCA_001651285.1 ,2.46331,32.8,-,LSKZ01,46,2394,2295,2016/05/25,2017/04/05,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/651/285/GCF_001651285.1_ASM165128v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/651/285/GCA_001651285.1_ASM165128v1
"Staphylococcus capitis","MF1872",51020,SAMN04479466 ,PRJNA311173,"Terrabacteria group","Firmicutes",GCA_001651335.1 ,2.47154,32.8,-,LSLA01,45,2397,2297,2016/05/25,2017/04/05,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/651/335/GCF_001651335.1_ASM165133v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/651/335/GCA_001651335.1_ASM165133v1
"Staphylococcus capitis","KR",51020,SAMN06718504 ,PRJNA375758,"Terrabacteria group","Firmicutes",GCA_002276515.1 ,2.44417,32.8,-,NDFI01,85,2387,2234,2017/08/29,2018/10/27,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/276/515/GCF_002276515.1_ASM227651v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/276/515/GCA_002276515.1_ASM227651v1
"Staphylococcus capitis","OG2-1",51020,SAMN06718483 ,PRJNA375758,"Terrabacteria group","Firmicutes",GCA_002276735.1 ,2.54255,33,-,NDFK01,140,2462,2354,2017/08/29,2017/08/30,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/276/735/GCF_002276735.1_ASM227673v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/276/735/GCA_002276735.1_ASM227673v1
"Staphylococcus capitis","SNUC 6079",51020,SAMN06172863 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003039855.1 ,2.43409,32.9,-,PZCT01,113,2381,2230,2018/04/05,2018/04/11,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/039/855/GCF_003039855.1_ASM303985v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/039/855/GCA_003039855.1_ASM303985v1
"Staphylococcus capitis","SNUC 5871",51020,SAMN06172861 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003039875.1 ,2.43426,32.9,-,PZCU01,73,2370,2239,2018/04/05,2018/04/11,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/039/875/GCF_003039875.1_ASM303987v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/039/875/GCA_003039875.1_ASM303987v1
"Staphylococcus capitis","SNUC 4231",51020,SAMN06172857 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003039895.1 ,2.45705,32.8,-,PZCX01,162,2407,2255,2018/04/05,2018/04/11,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/039/895/GCF_003039895.1_ASM303989v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/039/895/GCA_003039895.1_ASM303989v1
"Staphylococcus capitis","SNUC 4705",51020,SAMN06172859 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003040535.1 ,2.41763,32.9,-,PZCV01,356,2379,2178,2018/04/05,2018/04/11,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/040/535/GCF_003040535.1_ASM304053v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/040/535/GCA_003040535.1_ASM304053v1
"Staphylococcus capitis","SNUC 4275",51020,SAMN06172858 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003040555.1 ,2.44527,33,-,PZCW01,158,2388,2236,2018/04/05,2018/04/11,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/040/555/GCF_003040555.1_ASM304055v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/040/555/GCA_003040555.1_ASM304055v1
"Staphylococcus capitis","SNUC 3769",51020,SAMN06172855 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003040575.1 ,2.41772,32.9,-,PZCY01,68,2355,2215,2018/04/05,2018/04/11,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/040/575/GCF_003040575.1_ASM304057v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/040/575/GCA_003040575.1_ASM304057v1
"Staphylococcus capitis","SNUC 3379",51020,SAMN06172854 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003040595.1 ,2.4217,32.9,-,PZCZ01,49,2354,2232,2018/04/05,2018/04/11,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/040/595/GCF_003040595.1_ASM304059v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/040/595/GCA_003040595.1_ASM304059v1
"Staphylococcus capitis","SNUC 2784",51020,SAMN06172851 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003040615.1 ,2.41895,32.9,-,PZDB01,132,2362,2216,2018/04/05,2018/04/11,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/040/615/GCF_003040615.1_ASM304061v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/040/615/GCA_003040615.1_ASM304061v1
"Staphylococcus capitis","SNUC 2159",51020,SAMN06172848 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003040635.1 ,2.43098,32.9,-,PZDD01,52,2372,2236,2018/04/05,2018/04/11,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/040/635/GCF_003040635.1_ASM304063v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/040/635/GCA_003040635.1_ASM304063v1
"Staphylococcus capitis","SNUC 1187",51020,SAMN06172845 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003040655.1 ,2.40854,33,-,PZDE01,79,2333,2208,2018/04/05,2018/04/11,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/040/655/GCF_003040655.1_ASM304065v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/040/655/GCA_003040655.1_ASM304065v1
"Staphylococcus capitis","SNUC 895",51020,SAMN06172844 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003040675.1 ,2.41635,32.9,-,PZDF01,207,2367,2199,2018/04/05,2018/04/25,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/040/675/GCF_003040675.1_ASM304067v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/040/675/GCA_003040675.1_ASM304067v1
"Staphylococcus capitis","SNUC 2477",51020,SAMN06172849 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003041035.1 ,2.42095,32.9,-,PZDC01,160,2383,2226,2018/04/05,2018/04/11,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/041/035/GCF_003041035.1_ASM304103v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/041/035/GCA_003041035.1_ASM304103v1
"Staphylococcus capitis","SNUC 2974",51020,SAMN06172852 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003041055.1 ,2.52797,32.8,-,PZDA01,100,2475,2330,2018/04/05,2018/04/11,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/041/055/GCF_003041055.1_ASM304105v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/041/055/GCA_003041055.1_ASM304105v1
"Staphylococcus capitis","SNUC 791",51020,SAMN06172842 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003041075.1 ,2.41558,32.9,-,PZDG01,40,2352,2221,2018/04/05,2018/04/11,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/041/075/GCF_003041075.1_ASM304107v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/041/075/GCA_003041075.1_ASM304107v1
"Staphylococcus capitis","SNUC 5893",51020,SAMN06172862 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003578355.1 ,2.38833,32.9,-,QXRL01,173,2338,2224,2018/09/20,2018/09/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/578/355/GCF_003578355.1_ASM357835v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/578/355/GCA_003578355.1_ASM357835v1
"Staphylococcus capitis","SNUC 4830",51020,SAMN06172860 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003578385.1 ,2.41531,32.9,-,QXRM01,129,2368,2251,2018/09/20,2018/09/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/578/385/GCF_003578385.1_ASM357838v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/578/385/GCA_003578385.1_ASM357838v1
"Staphylococcus capitis","SNUC 3795",51020,SAMN06172856 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003578405.1 ,2.43061,32.9,-,QXRN01,98,2371,2254,2018/09/20,2018/09/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/578/405/GCF_003578405.1_ASM357840v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/578/405/GCA_003578405.1_ASM357840v1
"Staphylococcus capitis","SNUC 3357",51020,SAMN06172853 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003578415.1 ,2.44097,32.8,-,QXRO01,203,2406,2294,2018/09/20,2018/09/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/578/415/GCF_003578415.1_ASM357841v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/578/415/GCA_003578415.1_ASM357841v1
"Staphylococcus capitis","SNUC 1319",51020,SAMN06172846 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003578595.1 ,2.40419,32.9,-,QXRR01,41,2329,2205,2018/09/20,2018/09/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/578/595/GCF_003578595.1_ASM357859v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/578/595/GCA_003578595.1_ASM357859v1
"Staphylococcus capitis","SNUC 807",51020,SAMN06172843 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003578625.1 ,2.49553,32.9,-,QXRS01,68,2465,2337,2018/09/20,2018/09/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/578/625/GCF_003578625.1_ASM357862v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/578/625/GCA_003578625.1_ASM357862v1
"Staphylococcus capitis","SNUC 2643",51020,SAMN06172850 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003579065.1 ,2.42202,32.9,-,QXRP01,104,2372,2250,2018/09/20,2018/09/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/579/065/GCF_003579065.1_ASM357906v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/579/065/GCA_003579065.1_ASM357906v1
"Staphylococcus capitis","SNUC 1642",51020,SAMN06172847 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003579085.1 ,2.38756,32.9,-,QXRQ01,155,2344,2222,2018/09/20,2018/09/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/579/085/GCF_003579085.1_ASM357908v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/579/085/GCA_003579085.1_ASM357908v1
"Staphylococcus capitis","CR07",51020,SAMEA3661573 ,PRJEB8890,"Terrabacteria group","Firmicutes",GCA_900068995.1 ,2.4746,32.8,-,CZWH01,26,2406,2301,2015/11/14,2017/06/09,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/068/995/GCF_900068995.1_CR07,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/068/995/GCA_900068995.1_CR07
"Staphylococcus capitis","129_SAUR",51020,SAMN03197261 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001060815.1 ,2.59971,32.9,-,JVVH01,194,2445,2377,2015/07/10,2017/04/03,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/060/815/GCF_001060815.1_ASM106081v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/060/815/GCA_001060815.1_ASM106081v1
"Staphylococcus capitis","245_SAUR",51020,SAMN03197435 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001064095.1 ,2.53678,32.8,-,JVOP01,120,2441,2343,2015/07/10,2017/04/03,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/064/095/GCF_001064095.1_ASM106409v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/064/095/GCA_001064095.1_ASM106409v1
"Staphylococcus capitis","505_SAUR",51020,SAMN03197698 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001065245.1 ,2.57911,32.9,-,JVEM01,52,2474,2393,2015/07/10,2017/04/03,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/065/245/GCF_001065245.1_ASM106524v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/065/245/GCA_001065245.1_ASM106524v1
"Staphylococcus capitis","605_SAUR",51020,SAMN03197805 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001065645.1 ,2.53814,32.8,-,JVAJ01,82,2417,2352,2015/07/10,2017/04/03,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/065/645/GCF_001065645.1_ASM106564v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/065/645/GCA_001065645.1_ASM106564v1
"Staphylococcus capitis","664.rep2_SAUR",51020,SAMN03197868 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001066795.1 ,2.56104,32.9,-,JUXY01,40,2451,2369,2015/07/10,2017/04/03,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/066/795/GCF_001066795.1_ASM106679v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/066/795/GCA_001066795.1_ASM106679v1
"Staphylococcus capitis","104_SEPI",51020,SAMN03197005 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001069155.1 ,2.55798,32.9,-,JWFD01,43,2446,2367,2015/07/10,2017/04/03,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/069/155/GCF_001069155.1_ASM106915v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/069/155/GCA_001069155.1_ASM106915v1
"Staphylococcus capitis","1341_SEPI",51020,SAMN03197323 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001069765.1 ,2.56112,32.8,-,JVSX01,75,2445,2376,2015/07/10,2017/04/03,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/069/765/GCF_001069765.1_ASM106976v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/069/765/GCA_001069765.1_ASM106976v1
"Staphylococcus capitis","441_SEPI",51020,SAMN03197633 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001071095.1 ,2.3924,32.7,-,JVGZ01,56,2324,2176,2015/07/10,2017/04/03,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/071/095/GCF_001071095.1_ASM107109v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/071/095/GCA_001071095.1_ASM107109v1
"Staphylococcus capitis","562_SWAR",51020,SAMN03197762 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001073365.1 ,2.50904,32.7,-,JVCA01,39,2414,2317,2015/07/10,2018/10/26,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/073/365/GCF_001073365.1_ASM107336v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/073/365/GCA_001073365.1_ASM107336v1
"Staphylococcus capitis","619_SEPI",51020,SAMN03197819 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001073565.1 ,2.54248,32.8,-,JUZV01,57,2428,2350,2015/07/10,2017/04/03,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/073/565/GCF_001073565.1_ASM107356v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/073/565/GCA_001073565.1_ASM107356v1
