#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Cutibacterium acnes hdn-1","hdn-1",20872,SAMN03081471 ,PRJNA184921,"Terrabacteria group","Actinobacteria",GCA_000709495.1 ,2.49456,60,chromosome:NZ_CP006032.1/CP006032.1,-,1,2509,2367,2014/06/17,2017/04/02,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/709/495/GCF_000709495.1_ASM70949v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/709/495/GCA_000709495.1_ASM70949v1
"Cutibacterium acnes","KCOM 1861 (= ChDC B594)",20872,SAMN03263080 ,PRJNA270126,"Terrabacteria group","Actinobacteria",GCA_001281065.1 ,2.52244,60,chromosome:NZ_CP012647.1/CP012647.1,-,1,2501,2263,2015/09/11,2017/10/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/281/065/GCF_001281065.1_ASM128106v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/281/065/GCA_001281065.1_ASM128106v1
"Cutibacterium acnes","PA_15_1_R1",20872,SAMN03982939 ,PRJNA291008,"Terrabacteria group","Actinobacteria",GCA_001469565.1 ,2.54796,60.1487,chromosome:NZ_CP012355.1/CP012355.1; plasmid unnamed:NZ_CP012356.1/CP012356.1,-,2,2590,2441,2015/12/18,2017/09/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/469/565/GCF_001469565.1_ASM146956v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/469/565/GCA_001469565.1_ASM146956v1
"Cutibacterium acnes","PA_21_1_L1",20872,SAMN03982942 ,PRJNA292488,"Terrabacteria group","Actinobacteria",GCA_001469595.1 ,2.56035,60,chromosome:NZ_CP012351.1/CP012351.1,-,1,2564,2397,2015/12/18,2017/09/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/469/595/GCF_001469595.1_ASM146959v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/469/595/GCA_001469595.1_ASM146959v1
"Cutibacterium acnes","PA_15_2_L1",20872,SAMN03982940 ,PRJNA292484,"Terrabacteria group","Actinobacteria",GCA_001469615.1 ,2.54001,60.1,chromosome:NZ_CP012352.1/CP012352.1,-,1,2557,2411,2015/12/18,2017/09/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/469/615/GCF_001469615.1_ASM146961v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/469/615/GCA_001469615.1_ASM146961v1
"Cutibacterium acnes","PA_12_1_L1",20872,SAMN03982899 ,PRJNA292485,"Terrabacteria group","Actinobacteria",GCA_001469655.1 ,2.49196,60,chromosome:NZ_CP012354.1/CP012354.1,-,1,2509,2370,2015/12/18,2017/09/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/469/655/GCF_001469655.1_ASM146965v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/469/655/GCA_001469655.1_ASM146965v1
"Cutibacterium acnes","ATCC 6919",20872,SAMN07660999 ,PRJNA408272,"Terrabacteria group","Actinobacteria",GCA_003030305.1 ,2.495,60,chromosome:NZ_CP023676.1/CP023676.1,-,1,2509,2360,2018/04/02,2018/04/04,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/030/305/GCF_003030305.1_ASM303030v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/030/305/GCA_003030305.1_ASM303030v1
"Cutibacterium acnes","KCOM 1315",20872,SAMN09759490 ,PRJNA484093,"Terrabacteria group","Actinobacteria",GCA_003390995.1 ,2.56032,60,chromosome:NZ_CP031442.1/CP031442.1,-,1,2571,2407,2018/08/14,2018/08/16,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/390/995/GCF_003390995.1_ASM339099v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/390/995/GCA_003390995.1_ASM339099v1
"Cutibacterium acnes","PA_30_2_L1",20872,SAMN03982898 ,PRJNA292487,"Terrabacteria group","Actinobacteria",GCA_001469555.1 ,2.53071,60,chromosome:NZ_CP012350.1/CP012350.1,-,1,2543,2370,2015/12/18,2017/09/25,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/469/555/GCF_001469555.1_ASM146955v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/469/555/GCA_001469555.1_ASM146955v1
"Cutibacterium acnes","PA_12_1_R1",20872,SAMN03982937 ,PRJNA292486,"Terrabacteria group","Actinobacteria",GCA_001469635.1 ,2.47002,60.1,chromosome:NZ_CP012353.1/CP012353.1,-,1,2486,2352,2015/12/18,2017/09/25,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/469/635/GCF_001469635.1_ASM146963v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/469/635/GCA_001469635.1_ASM146963v1
"Cutibacterium acnes","A1-14",20872,SAMN03398612 ,PRJNA277911,"Terrabacteria group","Actinobacteria",GCA_001481615.1 ,2.39974,60.1,chromosome:NZ_CP013693.1/CP013693.1,-,1,2395,2133,2015/12/23,2017/10/23,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/481/615/GCF_001481615.1_ASM148161v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/481/615/GCA_001481615.1_ASM148161v1
"Cutibacterium acnes HL001PA1","HL001PA1",20872,SAMN00189190 ,PRJNA49245,"Terrabacteria group","Actinobacteria",GCA_000144005.1 ,2.47493,60.1,-,ADZV01,16,2486,2254,2010/07/28,2018/06/16,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/005/GCF_000144005.1_ASM14400v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/005/GCA_000144005.1_ASM14400v1
"Cutibacterium acnes HL002PA1","HL002PA1",20872,SAMN00189191 ,PRJNA49265,"Terrabacteria group","Actinobacteria",GCA_000144025.1 ,2.47718,60,-,ADXW01,14,2491,2349,2010/07/28,2018/06/16,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/025/GCF_000144025.1_ASM14402v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/025/GCA_000144025.1_ASM14402v1
"Cutibacterium acnes HL067PA1","HL067PA1",20872,SAMN00189233 ,PRJNA49255,"Terrabacteria group","Actinobacteria",GCA_000144045.1 ,2.52793,60.1,-,ADZT01,35,2557,2412,2010/07/28,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/045/GCF_000144045.1_ASM14404v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/045/GCA_000144045.1_ASM14404v1
"Cutibacterium acnes HL005PA4","HL005PA4",20872,SAMN00189197 ,PRJNA49231,"Terrabacteria group","Actinobacteria",GCA_000144065.1 ,2.47011,60,-,ADZW01,16,2483,2351,2010/07/28,2018/06/16,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/065/GCF_000144065.1_ASM14406v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/065/GCA_000144065.1_ASM14406v1
"Cutibacterium acnes HL082PA2","HL082PA2",20872,SAMN00189239 ,PRJNA49277,"Terrabacteria group","Actinobacteria",GCA_000144105.1 ,2.48619,60,-,ADZR01,37,2496,2277,2010/07/28,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/105/GCF_000144105.1_ASM14410v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/105/GCA_000144105.1_ASM14410v1
"Cutibacterium acnes HL002PA2","HL002PA2",20872,SAMN00189192 ,PRJNA49267,"Terrabacteria group","Actinobacteria",GCA_000144125.1 ,2.47576,60.1,-,ADZS01,15,2499,2354,2010/07/28,2018/06/16,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/125/GCF_000144125.1_ASM14412v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/125/GCA_000144125.1_ASM14412v1
"Cutibacterium acnes HL025PA2","HL025PA2",20872,SAMN00189203 ,PRJNA49213,"Terrabacteria group","Actinobacteria",GCA_000144145.1 ,2.47846,60,-,ADZO01,21,2496,2348,2010/07/28,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/145/GCF_000144145.1_ASM14414v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/145/GCA_000144145.1_ASM14414v1
"Cutibacterium acnes HL053PA2","HL053PA2",20872,SAMN00189226 ,PRJNA49165,"Terrabacteria group","Actinobacteria",GCA_000144165.1 ,2.49809,60.1,-,ADZB01,17,2526,2375,2010/07/29,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/165/GCF_000144165.1_ASM14416v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/165/GCA_000144165.1_ASM14416v1
"Cutibacterium acnes HL053PA1","HL053PA1",20872,SAMN00189224 ,PRJNA49163,"Terrabacteria group","Actinobacteria",GCA_000144185.1 ,2.52536,60.2,-,ADZD01,25,2578,2436,2010/07/29,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/185/GCF_000144185.1_ASM14418v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/185/GCA_000144185.1_ASM14418v1
"Cutibacterium acnes HL110PA1","HL110PA1",20872,SAMN00189247 ,PRJNA49187,"Terrabacteria group","Actinobacteria",GCA_000144205.1 ,2.49615,60.1,-,ADZE01,16,2514,2374,2010/07/29,2018/06/16,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/205/GCF_000144205.1_ASM14420v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/205/GCA_000144205.1_ASM14420v1
"Cutibacterium acnes HL083PA1","HL083PA1",20872,SAMN00189240 ,PRJNA49207,"Terrabacteria group","Actinobacteria",GCA_000144225.1 ,2.4775,60.1,-,ADZC01,18,2513,2367,2010/07/29,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/225/GCF_000144225.1_ASM14422v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/225/GCA_000144225.1_ASM14422v1
"Cutibacterium acnes HL072PA1","HL072PA1",20872,SAMN00189234 ,PRJNA49179,"Terrabacteria group","Actinobacteria",GCA_000144245.1 ,2.52416,60.1,-,ADZF01,22,2559,2428,2010/07/29,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/245/GCF_000144245.1_ASM14424v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/245/GCA_000144245.1_ASM14424v1
"Cutibacterium acnes HL050PA1","HL050PA1",20872,SAMN00189222 ,PRJNA49233,"Terrabacteria group","Actinobacteria",GCA_000144265.1 ,2.47468,60,-,ADZL01,17,2498,2342,2010/07/29,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/265/GCF_000144265.1_ASM14426v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/265/GCA_000144265.1_ASM14426v1
"Cutibacterium acnes HL046PA1","HL046PA1",20872,SAMN00189220 ,PRJNA49221,"Terrabacteria group","Actinobacteria",GCA_000144285.1 ,2.47811,60,-,ADZQ01,15,2498,2356,2010/07/29,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/285/GCF_000144285.1_ASM14428v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/285/GCA_000144285.1_ASM14428v1
"Cutibacterium acnes HL005PA1","HL005PA1",20872,SAMN00189194 ,PRJNA49225,"Terrabacteria group","Actinobacteria",GCA_000144305.1 ,2.51713,60.2,-,ADZP01,49,2566,2406,2010/07/29,2018/06/16,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/305/GCF_000144305.1_ASM14430v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/305/GCA_000144305.1_ASM14430v1
"Cutibacterium acnes HL050PA3","HL050PA3",20872,SAMN00189225 ,PRJNA49239,"Terrabacteria group","Actinobacteria",GCA_000144325.1 ,2.47661,60,-,ADZK01,14,2493,2367,2010/07/29,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/325/GCF_000144325.1_ASM14432v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/325/GCA_000144325.1_ASM14432v1
"Cutibacterium acnes HL005PA3","HL005PA3",20872,SAMN00189196 ,PRJNA49229,"Terrabacteria group","Actinobacteria",GCA_000144345.1 ,2.47483,60.1,-,ADZM01,17,2499,2368,2010/07/29,2018/06/16,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/345/GCF_000144345.1_ASM14434v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/345/GCA_000144345.1_ASM14434v1
"Cutibacterium acnes HL045PA1","HL045PA1",20872,SAMN00189219 ,PRJNA49167,"Terrabacteria group","Actinobacteria",GCA_000144365.1 ,2.5277,60.2,-,ADZA01,19,2577,2430,2010/07/29,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/365/GCF_000144365.1_ASM14436v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/365/GCA_000144365.1_ASM14436v1
"Cutibacterium acnes HL005PA2","HL005PA2",20872,SAMN00189195 ,PRJNA49227,"Terrabacteria group","Actinobacteria",GCA_000144385.1 ,2.47318,60.1,-,ADZN01,19,2498,2354,2010/07/29,2018/06/16,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/385/GCF_000144385.1_ASM14438v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/385/GCA_000144385.1_ASM14438v1
"Cutibacterium acnes HL086PA1","HL086PA1",20872,SAMN00189242 ,PRJNA49219,"Terrabacteria group","Actinobacteria",GCA_000144425.1 ,2.52431,60.1,-,ADYP01,16,2551,2405,2010/07/30,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/425/GCF_000144425.1_ASM14442v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/425/GCA_000144425.1_ASM14442v1
"Cutibacterium acnes HL038PA1","HL038PA1",20872,SAMN00189214 ,PRJNA49203,"Terrabacteria group","Actinobacteria",GCA_000144445.1 ,2.53548,60.2,-,ADYD01,24,2587,2436,2010/07/30,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/445/GCF_000144445.1_ASM14444v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/445/GCA_000144445.1_ASM14444v1
"Cutibacterium acnes HL050PA2","HL050PA2",20872,SAMN00189223 ,PRJNA49237,"Terrabacteria group","Actinobacteria",GCA_000144465.1 ,2.46137,60,-,ADYC01,13,2464,2234,2010/07/30,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/465/GCF_000144465.1_ASM14446v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/465/GCA_000144465.1_ASM14446v1
"Cutibacterium acnes HL087PA3","HL087PA3",20872,SAMN00189245 ,PRJNA49199,"Terrabacteria group","Actinobacteria",GCA_000144485.1 ,2.51682,60.1,-,ADYA01,20,2550,2417,2010/07/30,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/485/GCF_000144485.1_ASM14448v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/485/GCA_000144485.1_ASM14448v1
"Cutibacterium acnes HL020PA1","HL020PA1",20872,SAMN00189201 ,PRJNA49161,"Terrabacteria group","Actinobacteria",GCA_000144505.1 ,2.47851,60,-,ADYO01,14,2501,2365,2010/07/30,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/505/GCF_000144505.1_ASM14450v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/505/GCA_000144505.1_ASM14450v1
"Cutibacterium acnes HL013PA2","HL013PA2",20872,SAMN00189200 ,PRJNA49171,"Terrabacteria group","Actinobacteria",GCA_000144525.1 ,2.47576,60.1,-,ADYN01,18,2499,2356,2010/07/30,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/525/GCF_000144525.1_ASM14452v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/525/GCA_000144525.1_ASM14452v1
"Cutibacterium acnes HL063PA1","HL063PA1",20872,SAMN00189231 ,PRJNA49261,"Terrabacteria group","Actinobacteria",GCA_000144545.1 ,2.47671,60,-,ADYK01,14,2500,2368,2010/07/30,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/545/GCF_000144545.1_ASM14454v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/545/GCA_000144545.1_ASM14454v1
"Cutibacterium acnes HL036PA1","HL036PA1",20872,SAMN00189208 ,PRJNA49247,"Terrabacteria group","Actinobacteria",GCA_000144565.1 ,2.47775,60.1,-,ADYL01,13,2500,2357,2010/07/30,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/565/GCF_000144565.1_ASM14456v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/565/GCA_000144565.1_ASM14456v1
"Cutibacterium acnes HL036PA2","HL036PA2",20872,SAMN00189209 ,PRJNA49249,"Terrabacteria group","Actinobacteria",GCA_000144585.1 ,2.47667,60,-,ADYU01,13,2502,2364,2010/07/30,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/585/GCF_000144585.1_ASM14458v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/585/GCA_000144585.1_ASM14458v1
"Cutibacterium acnes HL027PA2","HL027PA2",20872,SAMN00189205 ,PRJNA49259,"Terrabacteria group","Actinobacteria",GCA_000144715.1 ,2.47467,60.1,-,ADYT01,16,2499,2341,2010/07/30,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/715/GCF_000144715.1_ASM14471v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/715/GCA_000144715.1_ASM14471v1
"Cutibacterium acnes HL063PA2","HL063PA2",20872,SAMN00189232 ,PRJNA49263,"Terrabacteria group","Actinobacteria",GCA_000144735.1 ,2.50384,60.1,-,ADYS01,16,2529,2375,2010/07/30,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/735/GCF_000144735.1_ASM14473v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/735/GCA_000144735.1_ASM14473v1
"Cutibacterium acnes HL043PA2","HL043PA2",20872,SAMN00189216 ,PRJNA49177,"Terrabacteria group","Actinobacteria",GCA_000144755.1 ,2.53259,60.2,-,ADYM01,39,2590,2436,2010/07/30,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/755/GCF_000144755.1_ASM14475v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/755/GCA_000144755.1_ASM14475v1
"Cutibacterium acnes HL002PA3","HL002PA3",20872,SAMN00189193 ,PRJNA49269,"Terrabacteria group","Actinobacteria",GCA_000144775.1 ,2.47544,60.1,-,ADYR01,13,2497,2359,2010/07/30,2018/06/16,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/775/GCF_000144775.1_ASM14477v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/775/GCA_000144775.1_ASM14477v1
"Cutibacterium acnes HL025PA1","HL025PA1",20872,SAMN00189202 ,PRJNA49211,"Terrabacteria group","Actinobacteria",GCA_000144795.1 ,2.53513,60.1,-,ADYQ01,12,2548,2384,2010/07/30,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/795/GCF_000144795.1_ASM14479v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/795/GCA_000144795.1_ASM14479v1
"Cutibacterium acnes HL110PA2","HL110PA2",20872,SAMN00189248 ,PRJNA49189,"Terrabacteria group","Actinobacteria",GCA_000144815.1 ,2.50237,60.1,-,ADYY01,14,2524,2385,2010/07/30,2018/06/16,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/815/GCF_000144815.1_ASM14481v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/815/GCA_000144815.1_ASM14481v1
"Cutibacterium acnes HL074PA1","HL074PA1",20872,SAMN00189236 ,PRJNA49183,"Terrabacteria group","Actinobacteria",GCA_000144835.1 ,2.51091,60.2,-,ADYZ01,58,2551,2386,2010/07/30,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/835/GCF_000144835.1_ASM14483v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/835/GCA_000144835.1_ASM14483v1
"Cutibacterium acnes HL059PA1","HL059PA1",20872,SAMN00189228 ,PRJNA49215,"Terrabacteria group","Actinobacteria",GCA_000144855.1 ,2.47509,60,-,ADYW01,20,2494,2351,2010/07/30,2018/06/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/855/GCF_000144855.1_ASM14485v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/855/GCA_000144855.1_ASM14485v1
