#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Staphylococcus epidermidis","CSF41498",19993,SAMN09491332 ,PRJNA478035,"Terrabacteria group","Firmicutes",GCA_003325735.1 ,2.53537,32.1266,chromosome:NZ_CP030246.1/CP030246.1; plasmid pCSF41498_1:NZ_CP030247.1/CP030247.1; plasmid pCSF41498_2:NZ_CP030248.1/CP030248.1; plasmid pCSF41498_3:NZ_CP030249.1/CP030249.1,-,4,2514,2358,2018/07/17,2018/07/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/325/735/GCF_003325735.1_ASM332573v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/325/735/GCA_003325735.1_ASM332573v1
"Staphylococcus epidermidis","BPH0662",19993,SAMEA3982825 ,PRJEB13975,"Terrabacteria group","Firmicutes",GCA_900086615.1 ,2.84117,31.967,chromosome 1:NZ_LT571449.1/LT571449.1; plasmid 2:NZ_LT571450.1/LT571450.1; plasmid 3:NZ_LT571451.1/LT571451.1,-,3,2855,2699,2016/05/12,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/086/615/GCF_900086615.1_BPH0662,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/086/615/GCA_900086615.1_BPH0662
"Staphylococcus epidermidis","SE90",19993,SAMN07702384 ,PRJNA412200,"Terrabacteria group","Firmicutes",GCA_002749455.1 ,2.4186,32.0416,chromosome:NZ_CP024408.1/CP024408.1; plasmid p1_90:NZ_CP024409.1/CP024409.1; plasmid p2_90:NZ_CP024410.1/CP024410.1,-,3,2383,2225,2017/11/03,2017/11/06,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/749/455/GCF_002749455.1_ASM274945v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/749/455/GCA_002749455.1_ASM274945v1
"Staphylococcus epidermidis","SE95",19993,SAMN07702411 ,PRJNA412208,"Terrabacteria group","Firmicutes",GCA_002749515.1 ,2.43784,32.0726,chromosome:NZ_CP024437.1/CP024437.1; plasmid p_1_95:NZ_CP024438.1/CP024438.1; plasmid p_2_95:NZ_CP024439.1/CP024439.1; plasmid p_3_95:NZ_CP024440.1/CP024440.1; plasmid p_4_95:NZ_CP024441.1/CP024441.1,-,5,2399,2216,2017/11/03,2017/11/06,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/749/515/GCF_002749515.1_ASM274951v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/749/515/GCA_002749515.1_ASM274951v1
"Staphylococcus epidermidis","GTH12",19993,SAMN08555375 ,PRJNA434386,"Terrabacteria group","Firmicutes",GCA_003119275.1 ,2.49953,33.2,chromosome:CP028282.1,-,1,-,-,2018/05/11,2018/05/11,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/119/275/GCA_003119275.1_ASM311927v1
"Staphylococcus epidermidis BCM-HMP0060","BCM-HMP0060",19993,SAMN00001492 ,PRJNA31545,"Terrabacteria group","Firmicutes",GCA_000159575.1 ,2.60602,32.2,-,ACHE01,46,2559,2433,2009/03/17,2017/03/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/575/GCF_000159575.1_ASM15957v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/575/GCA_000159575.1_ASM15957v1
"Staphylococcus epidermidis W23144","W23144",19993,SAMN00002221 ,PRJNA34655,"Terrabacteria group","Firmicutes",GCA_000160235.1 ,2.64658,32.3,-,ACJC01,91,2532,2395,2009/03/16,2017/03/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/235/GCF_000160235.1_ASM16023v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/235/GCA_000160235.1_ASM16023v1
"Staphylococcus epidermidis M23864:W2(grey)","M23864:W2(grey)",19993,SAMN02299424 ,PRJNA34643,"Terrabacteria group","Firmicutes",GCA_000164075.1 ,2.52335,32.3,-,ADMU01,13,2498,2374,2010/03/22,2017/03/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/075/GCF_000164075.1_ASM16407v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/075/GCA_000164075.1_ASM16407v1
"Staphylococcus epidermidis BVS058A4","BVS058A4",19993,SAMN02463887 ,PRJNA52117,"Terrabacteria group","Firmicutes",GCA_000314715.2 ,2.61072,32,-,AGZV01,17,2566,2378,2012/11/06,2017/03/23,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/314/715/GCF_000314715.2_Stap_epid_BVS058A4_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/314/715/GCA_000314715.2_Stap_epid_BVS058A4_V1
"Staphylococcus epidermidis M0881","M0881",19993,SAMN01047814 ,PRJNA171275,"Terrabacteria group","Firmicutes",GCA_000362145.1 ,2.67828,32.3,-,AOAJ01,9,2639,2473,2013/04/09,2017/04/10,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/362/145/GCF_000362145.1_Stap_aure_M0881_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/362/145/GCA_000362145.1_Stap_aure_M0881_V1
"Staphylococcus epidermidis Scl22","Scl22",19993,SAMN02470518 ,PRJNA207993,"Terrabacteria group","Firmicutes",GCA_000418045.1 ,2.37182,32.2,-,ATDB01,490,2385,2196,2013/07/02,2017/03/24,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/418/045/GCF_000418045.1_Scl22,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/418/045/GCA_000418045.1_Scl22
"Staphylococcus epidermidis M0026","M0026",19993,SAMN02325127 ,PRJNA216172,"Terrabacteria group","Firmicutes",GCA_000551165.1 ,2.5263,32,-,JBVX01,67,2499,2355,2014/02/04,2017/03/24,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/551/165/GCF_000551165.1_Stap_epid_M0026_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/551/165/GCA_000551165.1_Stap_epid_M0026_V1
"Staphylococcus epidermidis","AU23",19993,SAMN04299194 ,PRJNA304324,"Terrabacteria group","Firmicutes",GCA_001469315.1 ,2.48797,32.2,-,LNUS01,5,2456,2295,2015/12/18,2017/03/27,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/469/315/GCF_001469315.1_ASM146931v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/469/315/GCA_001469315.1_ASM146931v1
"Staphylococcus epidermidis","ATCC 14990",19993,SAMN06624123 ,PRJNA379934,"Terrabacteria group","Firmicutes",GCA_002087975.1 ,2.45752,32.0967,plasmid pATCC14990-2:NZ_CM007846.1/CM007846.1,NARC01,37,2438,2292,2017/04/12,2017/04/16,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/087/975/GCF_002087975.1_ASM208797v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/087/975/GCA_002087975.1_ASM208797v1
"Staphylococcus epidermidis SK135","SK135",19993,SAMN00008358 ,PRJNA34077,"Terrabacteria group","Firmicutes",GCA_000177115.1 ,2.51804,32.2,-,ADEY01,33,2477,2240,2009/12/15,2017/11/15,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/177/115/GCF_000177115.1_ASM17711v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/115/GCA_000177115.1_ASM17711v1
"Staphylococcus epidermidis FRI909","FRI909",19993,SAMN00138731 ,PRJNA48603,"Terrabacteria group","Firmicutes",GCA_000186205.2 ,2.54184,31.8,-,AENR01,56,2522,2345,2011/01/15,2017/11/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/205/GCF_000186205.1_ASM18620v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/205/GCA_000186205.2_ASM18620v2
"Staphylococcus epidermidis VCU144","VCU144",19993,SAMN00117468 ,PRJNA53777,"Terrabacteria group","Firmicutes",GCA_000205325.2 ,2.41368,32,-,AFED01,72,2405,2204,2011/04/20,2017/11/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/205/325/GCF_000205325.1_ASM20532v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/205/325/GCA_000205325.2_ASM20532v2
"Staphylococcus epidermidis VCU028","VCU028",19993,SAMN00116866 ,PRJNA53717,"Terrabacteria group","Firmicutes",GCA_000205405.2 ,2.44985,32,-,AFEH01,61,2459,2273,2011/04/20,2017/11/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/205/405/GCF_000205405.1_ASM20540v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/205/405/GCA_000205405.2_ASM20540v2
"Staphylococcus epidermidis VCU045","VCU045",19993,SAMN00116874 ,PRJNA53725,"Terrabacteria group","Firmicutes",GCA_000205425.2 ,2.48167,32.1,-,AFEI01,62,2465,2301,2011/04/20,2017/11/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/205/425/GCF_000205425.1_ASM20542v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/205/425/GCA_000205425.2_ASM20542v2
"Staphylococcus epidermidis VCU109","VCU109",19993,SAMN00116832 ,PRJNA53741,"Terrabacteria group","Firmicutes",GCA_000221665.2 ,2.3905,32.1,-,AFUA01,56,2376,2227,2011/07/26,2017/11/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/221/665/GCF_000221665.1_ASM22166v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/221/665/GCA_000221665.2_ASM22166v2
"Staphylococcus epidermidis VCU105","VCU105",19993,SAMN00116831 ,PRJNA53739,"Terrabacteria group","Firmicutes",GCA_000221685.2 ,2.30061,32.1,-,AFTZ01,30,2278,2126,2011/07/26,2017/11/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/221/685/GCF_000221685.1_ASM22168v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/221/685/GCA_000221685.2_ASM22168v2
"Staphylococcus epidermidis VCU037","VCU037",19993,SAMN00116868 ,PRJNA53721,"Terrabacteria group","Firmicutes",GCA_000221705.2 ,2.44904,32,-,AFTY01,44,2383,2252,2011/07/26,2017/11/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/221/705/GCF_000221705.1_ASM22170v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/221/705/GCA_000221705.2_ASM22170v2
"Staphylococcus epidermidis VCU041","VCU041",19993,SAMN00117454 ,PRJNA53723,"Terrabacteria group","Firmicutes",GCA_000245635.2 ,2.58501,31.8,-,AHKX01,87,2597,2408,2012/02/01,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/245/635/GCF_000245635.1_ASM24563v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/635/GCA_000245635.2_ASM24563v2
"Staphylococcus epidermidis VCU065","VCU065",19993,SAMN00117455 ,PRJNA53731,"Terrabacteria group","Firmicutes",GCA_000245675.2 ,2.5465,32,-,AHKZ01,87,2546,2412,2012/02/01,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/245/675/GCF_000245675.1_ASM24567v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/675/GCA_000245675.2_ASM24567v2
"Staphylococcus epidermidis VCU081","VCU081",19993,SAMN00117450 ,PRJNA53735,"Terrabacteria group","Firmicutes",GCA_000245695.2 ,2.38,31.9,-,AHLU01,78,2324,2224,2012/02/01,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/245/695/GCF_000245695.1_ASM24569v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/695/GCA_000245695.2_ASM24569v2
"Staphylococcus epidermidis VCU117","VCU117",19993,SAMN00116890 ,PRJNA53753,"Terrabacteria group","Firmicutes",GCA_000247025.2 ,2.44822,32,-,AHLA01,90,2407,2274,2012/02/07,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/025/GCF_000247025.1_ASM24702v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/025/GCA_000247025.2_ASM24702v2
"Staphylococcus epidermidis VCU118","VCU118",19993,SAMN00116847 ,PRJNA53755,"Terrabacteria group","Firmicutes",GCA_000247045.2 ,2.55182,31.9,-,AHLB01,75,2558,2377,2012/02/07,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/045/GCF_000247045.1_ASM24704v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/045/GCA_000247045.2_ASM24704v2
"Staphylococcus epidermidis VCU120","VCU120",19993,SAMN00117466 ,PRJNA53757,"Terrabacteria group","Firmicutes",GCA_000247065.2 ,2.55316,31.8,-,AHLC01,61,2552,2395,2012/02/07,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/065/GCF_000247065.1_ASM24706v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/065/GCA_000247065.2_ASM24706v2
"Staphylococcus epidermidis VCU125","VCU125",19993,SAMN00116836 ,PRJNA53765,"Terrabacteria group","Firmicutes",GCA_000247125.2 ,2.43634,32,-,AHLF01,70,2416,2278,2012/02/07,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/125/GCF_000247125.1_ASM24712v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/125/GCA_000247125.2_ASM24712v2
"Staphylococcus epidermidis VCU126","VCU126",19993,SAMN00116846 ,PRJNA53767,"Terrabacteria group","Firmicutes",GCA_000247145.2 ,2.44525,32,-,AHLG01,80,2408,2262,2012/02/07,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/145/GCF_000247145.1_ASM24714v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/145/GCA_000247145.2_ASM24714v2
"Staphylococcus epidermidis VCU127","VCU127",19993,SAMN00117463 ,PRJNA53769,"Terrabacteria group","Firmicutes",GCA_000247165.2 ,2.4296,32,-,AHLH01,81,2425,2261,2012/02/07,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/165/GCF_000247165.1_ASM24716v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/165/GCA_000247165.2_ASM24716v2
"Staphylococcus epidermidis VCU128","VCU128",19993,SAMN00116852 ,PRJNA53771,"Terrabacteria group","Firmicutes",GCA_000247185.2 ,2.52704,31.9,-,AHLI01,58,2517,2326,2012/02/07,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/185/GCF_000247185.1_ASM24718v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/185/GCA_000247185.2_ASM24718v2
"Staphylococcus epidermidis VCU129","VCU129",19993,SAMN00117464 ,PRJNA53773,"Terrabacteria group","Firmicutes",GCA_000247205.2 ,2.43548,32,-,AHLJ01,36,2406,2272,2012/02/07,2017/03/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/205/GCF_000247205.1_ASM24720v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/205/GCA_000247205.2_ASM24720v2
"Staphylococcus epidermidis IS-K","IS-K",19993,SAMN00189683 ,PRJNA53817,"Terrabacteria group","Firmicutes",GCA_000257965.1 ,2.52853,31.9,-,AJJS01,57,2500,2305,2012/04/05,2017/03/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/965/GCF_000257965.1_SaureusISKv1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/257/965/GCA_000257965.1_SaureusISKv1.0
"Staphylococcus epidermidis VCU071","VCU071",19993,SAMN00116887 ,PRJNA53733,"Terrabacteria group","Firmicutes",GCA_000260295.1 ,2.39637,32,-,AGUB01,46,2370,2209,2011/12/22,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/260/295/GCF_000260295.1_ASM26029v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/260/295/GCA_000260295.1_ASM26029v1
"Staphylococcus epidermidis NIH051475","NIH051475",19993,SAMN00993392 ,PRJNA86755,"Terrabacteria group","Firmicutes",GCA_000275965.1 ,2.50856,32,-,AKHL01,91,2494,2288,2012/07/09,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/275/965/GCF_000275965.1_ASM27596v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/275/965/GCA_000275965.1_ASM27596v1
"Staphylococcus epidermidis NIH051668","NIH051668",19993,SAMN00993214 ,PRJNA86757,"Terrabacteria group","Firmicutes",GCA_000275985.2 ,2.69295,31.8,-,AKHK01,73,2697,2459,2012/07/09,2017/11/24,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/275/985/GCF_000275985.2_ASM27598v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/275/985/GCA_000275985.2_ASM27598v2
"Staphylococcus epidermidis NIH04003","NIH04003",19993,SAMN00993757 ,PRJNA86759,"Terrabacteria group","Firmicutes",GCA_000276005.1 ,2.49336,32.1,-,AKHJ01,61,2454,2266,2012/07/09,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/276/005/GCF_000276005.1_ASM27600v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/276/005/GCA_000276005.1_ASM27600v1
"Staphylococcus epidermidis NIH05003","NIH05003",19993,SAMN00993648 ,PRJNA86761,"Terrabacteria group","Firmicutes",GCA_000276025.1 ,2.41226,32.1,-,AKHI01,66,2387,2215,2012/07/09,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/276/025/GCF_000276025.1_ASM27602v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/276/025/GCA_000276025.1_ASM27602v1
"Staphylococcus epidermidis NIH06004","NIH06004",19993,SAMN00993391 ,PRJNA86763,"Terrabacteria group","Firmicutes",GCA_000276045.1 ,2.61684,32.1,-,AKHH01,76,2615,2394,2012/07/09,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/276/045/GCF_000276045.1_ASM27604v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/276/045/GCA_000276045.1_ASM27604v1
"Staphylococcus epidermidis NIH08001","NIH08001",19993,SAMN00993450 ,PRJNA86765,"Terrabacteria group","Firmicutes",GCA_000276065.1 ,2.50945,32.1,-,AKHG01,68,2509,2321,2012/07/09,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/276/065/GCF_000276065.1_ASM27606v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/276/065/GCA_000276065.1_ASM27606v1
"Staphylococcus epidermidis NIH04008","NIH04008",19993,SAMN00993294 ,PRJNA62395,"Terrabacteria group","Firmicutes",GCA_000276085.1 ,2.73759,32,-,AKHF01,130,2779,2540,2012/07/09,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/276/085/GCF_000276085.1_ASM27608v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/276/085/GCA_000276085.1_ASM27608v1
"Staphylococcus epidermidis NIH05001","NIH05001",19993,SAMN00993295 ,PRJNA62391,"Terrabacteria group","Firmicutes",GCA_000276105.1 ,2.61896,32.2,-,AKHE01,174,2696,2432,2012/07/09,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/276/105/GCF_000276105.1_ASM27610v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/276/105/GCA_000276105.1_ASM27610v1
"Staphylococcus epidermidis NIH05005","NIH05005",19993,SAMN00993293 ,PRJNA62389,"Terrabacteria group","Firmicutes",GCA_000276125.1 ,2.49317,32,-,AKHD01,73,2487,2274,2012/07/09,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/276/125/GCF_000276125.1_ASM27612v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/276/125/GCA_000276125.1_ASM27612v1
