#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Staphylococcus hominis","437_SHAE",19991,SAMN03197630 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001072955.1 ,2.27204,31.3,-,JVHC01,49,2226,2162,2015/07/10,2017/04/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/072/955/GCF_001072955.1_ASM107295v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/072/955/GCA_001072955.1_ASM107295v1
"Staphylococcus hominis","692_SHAE",19991,SAMN03197896 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001073975.1 ,2.18671,31.4,-,JUWW01,89,2120,2063,2015/07/10,2017/04/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/073/975/GCF_001073975.1_ASM107397v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/073/975/GCA_001073975.1_ASM107397v1
"Staphylococcus hominis","858_SHAE",19991,SAMN03198066 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001074645.1 ,2.16179,31.4,-,JUQI01,124,2086,2034,2015/07/10,2017/04/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/074/645/GCF_001074645.1_ASM107464v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/074/645/GCA_001074645.1_ASM107464v1
"Staphylococcus hominis","RIT-PI-k",19991,SAMN03895993 ,PRJNA290680,"Terrabacteria group","Firmicutes",GCA_001297105.1 ,2.30132,31.6,-,LHPB01,103,2252,2130,2015/09/22,2017/04/04,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/297/105/GCF_001297105.1_ASM129710v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/297/105/GCA_001297105.1_ASM129710v1
"Staphylococcus hominis","H69",19991,SAMN04589099 ,PRJNA316465,"Terrabacteria group","Firmicutes",GCA_001650655.1 ,2.33937,31.4,-,LVVO01,148,2400,2234,2016/05/24,2017/04/05,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/650/655/GCF_001650655.1_ASM165065v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/650/655/GCA_001650655.1_ASM165065v1
"Staphylococcus hominis","LRKNS031",19991,SAMN04941285 ,PRJNA314440,"Terrabacteria group","Firmicutes",GCA_001658765.1 ,2.42279,31.4,-,LXRS01,98,2461,2331,2016/06/07,2017/04/05,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/658/765/GCF_001658765.1_ASM165876v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/658/765/GCA_001658765.1_ASM165876v1
"Staphylococcus hominis","RE2.8",19991,SAMN04590065 ,PRJNA316783,"Terrabacteria group","Firmicutes",GCA_001876405.1 ,2.20516,31.4,-,LWJP01,145,2198,2063,2016/11/10,2017/04/10,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/876/405/GCF_001876405.1_ASM187640v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/876/405/GCA_001876405.1_ASM187640v1
"Staphylococcus hominis","RE2.7",19991,SAMN04590064 ,PRJNA316783,"Terrabacteria group","Firmicutes",GCA_001876445.1 ,2.20872,31.4,-,LWJO01,102,2186,2080,2016/11/10,2017/04/05,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/876/445/GCF_001876445.1_ASM187644v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/876/445/GCA_001876445.1_ASM187644v1
"Staphylococcus hominis","RE2.10",19991,SAMN04590067 ,PRJNA316783,"Terrabacteria group","Firmicutes",GCA_001876465.1 ,2.20902,31.4,-,LWJR01,161,2221,2064,2016/11/10,2017/04/05,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/876/465/GCF_001876465.1_ASM187646v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/876/465/GCA_001876465.1_ASM187646v1
"Staphylococcus hominis","BHG17",19991,SAMN05967207 ,PRJNA352113,"Terrabacteria group","Firmicutes",GCA_001886335.1 ,2.35649,31.4,-,MPNR01,43,2367,2252,2016/11/25,2017/04/05,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/335/GCF_001886335.1_ASM188633v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/886/335/GCA_001886335.1_ASM188633v1
"Staphylococcus hominis subsp. hominis","K1",19991,SAMN06445345 ,PRJNA376656,"Terrabacteria group","Firmicutes",GCA_002156675.1 ,2.25323,31.3974,plasmid pKH1:NZ_CM007920.1/CM007920.1,MWPJ01,41,2230,2047,2017/05/22,2017/06/02,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/156/675/GCF_002156675.1_ASM215667v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/156/675/GCA_002156675.1_ASM215667v1
"Staphylococcus hominis","KR",19991,SAMN06718498 ,PRJNA375758,"Terrabacteria group","Firmicutes",GCA_002276845.1 ,2.43209,34.5,-,NCXB01,837,2248,2146,2017/08/29,2017/08/30,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/276/845/GCF_002276845.1_ASM227684v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/276/845/GCA_002276845.1_ASM227684v1
"Staphylococcus hominis","SH08_17",19991,SAMN08095615 ,PRJNA419709,"Terrabacteria group","Firmicutes",GCA_002799365.1 ,2.35435,31.5,-,PHKL01,86,2399,2185,2017/11/29,2017/12/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/799/365/GCF_002799365.1_ASM279936v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/799/365/GCA_002799365.1_ASM279936v1
"Staphylococcus hominis","SH04_17",19991,SAMN08095613 ,PRJNA419707,"Terrabacteria group","Firmicutes",GCA_002799525.1 ,2.347,31.4,-,PHKJ01,78,2393,2193,2017/11/29,2017/12/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/799/525/GCF_002799525.1_ASM279952v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/799/525/GCA_002799525.1_ASM279952v1
"Staphylococcus hominis","SNUC 5746",19991,SAMN06173082 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003042305.1 ,2.27021,31.6,-,PZHW01,147,2274,2113,2018/04/06,2018/04/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/042/305/GCF_003042305.1_ASM304230v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/042/305/GCA_003042305.1_ASM304230v1
"Staphylococcus hominis","SNUC 5336",19991,SAMN06173081 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003042335.1 ,2.45064,31.6,-,PZHX01,81,2474,2317,2018/04/06,2018/04/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/042/335/GCF_003042335.1_ASM304233v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/042/335/GCA_003042335.1_ASM304233v1
"Staphylococcus hominis","SNUC 3404",19991,SAMN06173078 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003042345.1 ,2.25615,31.5,-,PZHY01,124,2279,2110,2018/04/06,2018/04/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/042/345/GCF_003042345.1_ASM304234v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/042/345/GCA_003042345.1_ASM304234v1
"Staphylococcus hominis","SNUC 2694",19991,SAMN06173077 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003042375.1 ,2.18471,31.6,-,PZHZ01,199,2198,2041,2018/04/06,2018/04/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/042/375/GCF_003042375.1_ASM304237v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/042/375/GCA_003042375.1_ASM304237v1
"Staphylococcus hominis","SNUC 2620",19991,SAMN06173076 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003042385.1 ,2.29722,31.4,-,PZIA01,146,2282,2131,2018/04/06,2018/04/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/042/385/GCF_003042385.1_ASM304238v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/042/385/GCA_003042385.1_ASM304238v1
"Staphylococcus hominis","SNUC 2444",19991,SAMN06173075 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003042465.1 ,2.26545,31.8,-,PZIB01,176,2282,2107,2018/04/06,2018/04/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/042/465/GCF_003042465.1_ASM304246v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/042/465/GCA_003042465.1_ASM304246v1
"Staphylococcus hominis","SNUC 5852",19991,SAMN06173084 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003043055.1 ,2.32058,31.6,-,PZHV01,96,2346,2190,2018/04/06,2018/04/18,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/043/055/GCF_003043055.1_ASM304305v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/043/055/GCA_003043055.1_ASM304305v1
"Staphylococcus hominis","SNUC 3870",19991,SAMN06173080 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003579515.1 ,2.29261,31.5,-,QXVR01,206,2360,2197,2018/09/20,2018/09/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/579/515/GCF_003579515.1_ASM357951v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/579/515/GCA_003579515.1_ASM357951v1
"Staphylococcus hominis","SNUC 4474",19991,SAMN06173085 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003579635.1 ,2.24559,31.5,-,QXVP01,61,2270,2135,2018/09/20,2018/09/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/579/635/GCF_003579635.1_ASM357963v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/579/635/GCA_003579635.1_ASM357963v1
"Staphylococcus hominis","SNUC 3405",19991,SAMN06173079 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003579665.1 ,2.29352,31.7,-,QXVS01,321,2399,2257,2018/09/20,2018/09/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/579/665/GCF_003579665.1_ASM357966v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/579/665/GCA_003579665.1_ASM357966v1
"Staphylococcus hominis","SNUC 5748",19991,SAMN06173083 ,PRJNA342349,"Terrabacteria group","Firmicutes",GCA_003580605.1 ,2.25908,31.6,-,QXVQ01,130,2306,2163,2018/09/20,2018/09/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/580/605/GCF_003580605.1_ASM358060v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/580/605/GCA_003580605.1_ASM358060v1
"Staphylococcus hominis","J31",19991,SAMEA3515759 ,PRJEB10568,"Terrabacteria group","Firmicutes",GCA_900006675.1 ,2.32417,31.5,-,FBVO01,5,2317,2132,2017/02/12,2017/02/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/006/675/GCF_900006675.1_J31_HGAP2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/006/675/GCA_900006675.1_J31_HGAP2
"Staphylococcus hominis","NCTC11320",19991,SAMEA3539708 ,PRJEB6403,"Terrabacteria group","Firmicutes",GCA_900458635.1 ,2.25711,31.6,-,UHDM01,2,2243,2116,2018/07/30,2018/08/07,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/458/635/GCF_900458635.1_41665_G01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/458/635/GCA_900458635.1_41665_G01
"Staphylococcus hominis","1118_SHAE",19991,SAMN03197072 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001068715.1 ,2.2798,31.3,-,JWCO01,71,2240,2172,2015/07/10,2017/04/03,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/068/715/GCF_001068715.1_ASM106871v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/068/715/GCA_001068715.1_ASM106871v1
"Staphylococcus hominis","1137_SHAE",19991,SAMN03197091 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001068725.1 ,2.26795,31.3,-,JWBV01,89,2229,2160,2015/07/10,2017/04/03,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/068/725/GCF_001068725.1_ASM106872v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/068/725/GCA_001068725.1_ASM106872v1
"Staphylococcus hominis","238_SHAE",19991,SAMN03197427 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001070775.1 ,2.27844,31.3,-,JVOX01,50,2221,2165,2015/07/10,2017/04/03,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/070/775/GCF_001070775.1_ASM107077v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/070/775/GCA_001070775.1_ASM107077v1
"Staphylococcus hominis","336_SHAE",19991,SAMN03197526 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001070895.1 ,2.2228,31.4,-,JVLC01,68,2161,2101,2015/07/10,2017/04/03,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/070/895/GCF_001070895.1_ASM107089v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/070/895/GCA_001070895.1_ASM107089v1
"Staphylococcus hominis","515_SHAE",19991,SAMN03197709 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001071235.1 ,2.18464,31.3,-,JVEB01,48,2143,2068,2015/07/10,2017/04/03,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/071/235/GCF_001071235.1_ASM107123v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/071/235/GCA_001071235.1_ASM107123v1
"Staphylococcus hominis","438_SHAE",19991,SAMN03197631 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001072965.1 ,2.26069,31.3,-,JVHB01,48,2210,2148,2015/07/10,2017/04/03,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/072/965/GCF_001072965.1_ASM107296v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/072/965/GCA_001072965.1_ASM107296v1
"Staphylococcus hominis","513_SHAE",19991,SAMN03197707 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001073185.1 ,2.24527,31.4,-,JVED01,53,2206,2128,2015/07/10,2017/04/03,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/073/185/GCF_001073185.1_ASM107318v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/073/185/GCA_001073185.1_ASM107318v1
"Staphylococcus hominis","657_SHAE",19991,SAMN03197859 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001073815.1 ,2.20323,31.4,-,JUYH01,56,2156,2106,2015/07/10,2017/04/03,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/073/815/GCF_001073815.1_ASM107381v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/073/815/GCA_001073815.1_ASM107381v1
"Staphylococcus hominis","793_SHAE",19991,SAMN03198006 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001077055.1 ,2.18734,31.4,-,JUSR01,54,2135,2055,2015/07/10,2017/04/03,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/077/055/GCF_001077055.1_ASM107705v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/077/055/GCA_001077055.1_ASM107705v1
"Staphylococcus hominis","794_SEPI",19991,SAMN03198007 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001077185.1 ,2.33975,31.6,-,JUSP01,49,2305,2213,2015/07/10,2017/04/03,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/077/185/GCF_001077185.1_ASM107718v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/077/185/GCA_001077185.1_ASM107718v1
"Staphylococcus hominis","Hudgins",19991,SAMN05332129 ,PRJNA327386,"Terrabacteria group","Firmicutes",GCA_001691635.1 ,2.21186,31.4,-,MAYR01,14,2236,2097,2016/07/21,2017/04/05,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/691/635/GCF_001691635.1_ASM169163v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/691/635/GCA_001691635.1_ASM169163v1
"Staphylococcus hominis","IIF4SC-B9",19991,SAMN04902360 ,PRJNA319366,"Terrabacteria group","Firmicutes",GCA_001743355.1 ,2.41577,31.5,-,MIZV01,500,2288,2175,2016/09/24,2017/04/05,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/743/355/GCF_001743355.1_ASM174335v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/743/355/GCA_001743355.1_ASM174335v1
"Staphylococcus hominis","UMB0272",19991,SAMN08193716 ,PRJNA316969,"Terrabacteria group","Firmicutes",GCA_002860985.1 ,2.21847,31.3,-,PKIP01,18,2200,2097,2017/12/28,2018/01/11,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/860/985/GCF_002860985.1_ASM286098v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/860/985/GCA_002860985.1_ASM286098v1
"Staphylococcus hominis subsp. hominis","NCTC 11320",19991,SAMN06177160 ,PRJNA339206,"Terrabacteria group","Firmicutes",GCA_002901845.1 ,2.20453,31.4,-,PPQE01,30,2192,2087,2018/01/27,2018/01/31,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/901/845/GCF_002901845.1_ASM290184v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/901/845/GCA_002901845.1_ASM290184v1
"Staphylococcus hominis subsp. novobiosepticus","CCUG 42399",19991,SAMN05978006 ,PRJNA339206,"Terrabacteria group","Firmicutes",GCA_002902465.1 ,2.42239,31.4,-,PPQX01,166,2437,2319,2018/01/27,2018/01/31,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/902/465/GCF_002902465.1_ASM290246v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/902/465/GCA_002902465.1_ASM290246v1
"Staphylococcus hominis","J31",19991,SAMEA3515759 ,PRJEB10524,"Terrabacteria group","Firmicutes",GCA_900006665.1 ,2.44804,31.5,-,FBVN01,663,2292,2170,2017/02/12,2017/02/23,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/006/665/GCF_900006665.1_S.hominis_J31,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/006/665/GCA_900006665.1_S.hominis_J31
"Staphylococcus hominis","J23",19991,SAMEA3515757 ,PRJEB10524,"Terrabacteria group","Firmicutes",GCA_900006735.1 ,2.23533,31.2,-,FBVI01,50,2215,2101,2017/02/12,2017/02/23,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/006/735/GCF_900006735.1_S.hominis_J23,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/006/735/GCA_900006735.1_S.hominis_J23
"Staphylococcus hominis","J27",19991,SAMEA3515758 ,PRJEB10524,"Terrabacteria group","Firmicutes",GCA_900006745.1 ,2.23684,31.2,-,FBVM01,40,2222,2105,2017/02/12,2017/02/23,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/006/745/GCF_900006745.1_S.hominis_J27,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/006/745/GCA_900006745.1_S.hominis_J27
