#SampleID	BarcodeSequence	LinkerPrimerSequence	RunID	Sex	BodySite	Description
SRS452123	_	_	SRR921059	female 	toeweb 	_
SRS452039	_	_	SRR920975	female 	toenail 	_
SRS451624	_	_	SRR919895	male 	toenail 	_
SRS451732	_	_	SRR920134	male 	toenail 	_
SRS452062	_	_	SRR920999	male 	toenail 	_
SRS452103	_	_	SRR921102	male 	toenail 	_
SRS452117	_	_	SRR921116	male 	toenail 	_
SRS482690	_	_	SRR995104	female 	retroauricular crease 	_
SRS482561	_	_	SRR994783	female 	retroauricular crease 	_
SRS451709	_	_	SRR920111	female 	retroauricular crease 	_
SRS482710	_	_	SRR995168	female 	retroauricular crease 	_
SRS482617	_	_	SRR995004	female 	retroauricular crease 	_
SRS452082	_	_	SRR921017	male 	retroauricular crease 	_
SRS483401	_	_	SRR996616	male 	retroauricular crease 	_
SRS452145	_	_	SRR921081	male 	retroauricular crease 	_
SRS483377	_	_	SRR996522	male 	retroauricular crease 	_
SRS482803	_	_	SRR995314	male 	retroauricular crease 	_
SRS451462	_	_	SRR919572	female 	hypothenar palm 	_
SRS451897	_	_	SRR920607	female 	hypothenar palm 	_
SRS451770	_	_	SRR920250	female 	hypothenar palm 	_
SRS451896	_	_	SRR920608	female 	hypothenar palm 	_
SRS451463	_	_	SRR919573	female 	hypothenar palm 	_
SRS451622	_	_	SRR919943	male 	hypothenar palm 	_
SRS451717	_	_	SRR920166	male 	hypothenar palm 	_
SRS451919	_	_	SRR920631	male 	hypothenar palm 	_
SRS452134	_	_	SRR921133	male 	hypothenar palm 	_
SRS451441	_	_	SRR919611	male 	hypothenar palm 	_
SRS451589	_	_	SRR919860	female 	back 	_
SRS451459	_	_	SRR919629	female 	back 	_
SRS451765	_	_	SRR920245	female 	back 	_
SRS451900	_	_	SRR920611	female 	back 	_
SRS451736	_	_	SRR920185	female 	back 	_
SRS451613	_	_	SRR919884	male 	back 	_
SRS452073	_	_	SRR920947	male 	back 	_
SRS451876	_	_	SRR920674	male 	back 	_
SRS451438	_	_	SRR919548	male 	back 	_
SRS451427	_	_	SRR919596	male 	back 	_
SRS451892	_	_	SRR920690	female 	antecubital crease 	_
SRS451735	_	_	SRR920137	female 	antecubital crease 	_
SRS451578	_	_	SRR919899	female 	antecubital crease 	_
SRS451457	_	_	SRR919567	female 	antecubital crease 	_
SRS451458	_	_	SRR919628	female 	antecubital crease 	_
SRS451603	_	_	SRR919924	male 	antecubital crease 	_
SRS452042	_	_	SRR920978	male 	antecubital crease 	_
SRS451940	_	_	SRR920737	male 	antecubital crease 	_
SRS452065	_	_	SRR920939	male 	antecubital crease 	_
SRS452098	_	_	SRR921033	male 	antecubital crease 	_
