Sample Name,Sample Description,Sample ID,Run ID,Experiment type,Instrument model,Release version
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451423,SRR919593,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451424,SRR919534,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451424,SRR919594,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451425,SRR919535,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451425,SRR919595,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from glabella of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from glabella of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451426,SRR919537,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from glabella of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from glabella of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451426,SRR919597,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from back of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from back of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451427,SRR919536,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from back of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from back of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451427,SRR919596,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from hypothenar palm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from hypothenar palm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451428,SRR919538,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from hypothenar palm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from hypothenar palm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451428,SRR919598,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from inguinal crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from inguinal crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451429,SRR919539,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from inguinal crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from inguinal crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451429,SRR919599,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from manubrium of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from manubrium of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451430,SRR919540,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from manubrium of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from manubrium of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451430,SRR919600,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from occiput of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from occiput of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451431,SRR919541,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from occiput of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from occiput of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451431,SRR919601,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451432,SRR919542,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451432,SRR919602,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451433,SRR919543,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451433,SRR919603,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451434,SRR919544,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451434,SRR919604,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451435,SRR919545,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451435,SRR919605,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451436,SRR919546,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451436,SRR919606,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451437,SRR919547,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451437,SRR919607,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from back of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from back of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451438,SRR919548,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from back of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from back of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451438,SRR919608,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from external auditory canal of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from external auditory canal of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451439,SRR919549,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from external auditory canal of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from external auditory canal of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451439,SRR919609,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from glabella of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from glabella of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451440,SRR919550,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from glabella of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from glabella of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451440,SRR919610,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from hypothenar palm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from hypothenar palm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451441,SRR919551,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from hypothenar palm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from hypothenar palm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451441,SRR919611,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from hypothenar palm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from hypothenar palm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451442,SRR919552,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from hypothenar palm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from hypothenar palm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451442,SRR919612,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from inguinal crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from inguinal crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451443,SRR919553,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from inguinal crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from inguinal crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451443,SRR919613,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from inguinal crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from inguinal crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451444,SRR919554,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from inguinal crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from inguinal crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451444,SRR919614,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from manubrium of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from manubrium of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451445,SRR919555,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from manubrium of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from manubrium of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451445,SRR919615,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from nare of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from nare of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451446,SRR919556,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from nare of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from nare of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451446,SRR919616,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from occiput of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from occiput of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451447,SRR919557,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from occiput of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from occiput of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451447,SRR919617,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451448,SRR919558,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451448,SRR919618,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451449,SRR919559,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451449,SRR919619,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451450,SRR919560,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451450,SRR919620,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451451,SRR919561,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451451,SRR919621,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toenail of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toenail of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451452,SRR919562,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toenail of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toenail of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451452,SRR919622,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451453,SRR919563,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451453,SRR919623,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451454,SRR919564,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451454,SRR919624,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451455,SRR919565,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451455,SRR919625,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451456,SRR919566,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451456,SRR919626,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451457,SRR919567,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451457,SRR919627,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451458,SRR919568,amplicon,454 GS FLX Titanium,2
